# (Note:  aliases _cannot_ start with "J" or "B"!)
# Jname       othername     alias
J0024-7204C   B0021-72C     47TucC
J0024-7204D   B0021-72D     47TucD
J0024-7204E   B0021-72E     47TucE
J0024-7204F   B0021-72F     47TucF
J0024-7204G   B0021-72G     47TucG
J0024-7204H   B0021-72H     47TucH
J0024-7204I   B0021-72I     47TucI
J0024-7204J   B0021-72J     47TucJ
J0024-7204L   B0021-72L     47TucL
J0024-7204M   B0021-72M     47TucM
J0024-7204N   B0021-72N     47TucN
J0024-7204O   J0024-7204O   47TucO
J0024-7204P   J0024-7204P   47TucP
J0024-7204Q   J0024-7204Q   47TucQ
J0024-7204R   J0024-7204R   47TucR
J0024-7204S   J0024-7204S   47TucS
J0024-7204T   J0024-7204T   47TucT
J0024-7204U   J0024-7204U   47TucU
J0024-7204V   J0024-7204V   47TucV
J0024-7204W   J0024-7204W   47TucW
J0024-7204X   J0024-7204X   47TucX
J0024-7204Y   J0024-7204Y   47TucY
J0142+61      J0142+61      0142
J0205+6449    J0205+6449    3C58
J0218+4232    J0218+4232    0218
J0437-4715    J0437-4715    0437
J0514-4002A   J0514-4002A   NGC1851A                           *
J0525-6607    J0525-6607    SGR0526
J0534+2200    B0531+21      Crab
J0537-6910    J0537-6910    N157B
J0538+2817    J0538+2817    S147
J0540-6919    B0540-69      0540
J0633+1746    J0633+1746    Geminga
J0659+1414    B0656+14      0656
J0737+3039A   J0737+3039A   0737A
J0737+3039B   J0737+3039B   0737B
J0835-4510    B0833-45      Vela
J0953+0755    B0950+08      0950
J1048-5937    J1048-5937    AXP1048
J1057-5226    B1055-52      1055
J1119-6127    J1119-6127    G292.2
J1124-5916    J1124-5916    G292.0
J1210-5226    J1210-5226    G296.5
J1312+1810    B1310+18      M53A
J1341-6220    B1338-62      G308.8
J1342+2822A   J1342+2822A   M3A
J1342+2822B   J1342+2822B   M3B
J1342+2822C   J1342+2822C   M3C
J1342+2822D   J1342+2822D   M3D
J1513-5908    B1509-58      G320.4
J1518+0205A   B1516+02A     M5A
J1518+0205B   B1516+02B     M5B
J1518+0205C   J1518+0205C   M5C
J1518+0205D   J1518+0205D   M5D
J1518+0205E   J1518+0205E   M5E
J1537+1155    B1534+12      1534  
J1546-3747A   J1546-3747A   NGC5986A
J1623-2631    B1620-26      M4A
J1641+3627A   B1639+36A     M13A
J1641+3627B   B1639+36B     M13B
J1641+3627C   J1641+3627C   M13C
J1641+3627D   J1641+3627D   M13D
J1641+3627E   J1641+3627E   M13E
J1701-3006A   J1701-3006A   NGC6266A
J1701-3006B   J1701-3006B   NGC6266B
J1701-3006C   J1701-3006C   NGC6266C
J1701-3006D   J1701-3006D   NGC6266D
J1701-3006E   J1701-3006E   NGC6266E
J1701-3006F   J1701-3006F   NGC6266F
J1708-4008    J1708-4008    AXP1708
J1713+0747    J1713+0747    1713
J1721-1936    B1718-19      NGC6342A
J1740-5340    J1740-5340    NGC6397A
J1748-2446A   B1744-24A     Ter5A
J1748-2021    B1745-20      NGC6440A
J1748-2446C   J1748-2446C   Ter5C
J1748-2446D   J1748-2446D   Ter5D
J1748-2446E   J1748-2446E   Ter5E
J1748-2446F   J1748-2446F   Ter5F
J1748-2446G   J1748-2446G   Ter5G
J1748-2446H   J1748-2446H   Ter5H
J1748-2446I   J1748-2446I   Ter5I
J1748-2446J   J1748-2446J   Ter5J
J1748-2446K   J1748-2446K   Ter5K
J1748-2446L   J1748-2446L   Ter5L
J1748-2446M   J1748-2446M   Ter5M
J1748-2446N   J1748-2446N   Ter5N
J1748-2446O   J1748-2446O   Ter5O
J1748-2446P   J1748-2446P   Ter5P
J1748-2446Q   J1748-2446Q   Ter5Q
J1748-2446R   J1748-2446R   Ter5R
J1748-2446S   J1748-2446S   Ter5S
J1748-2446T   J1748-2446T   Ter5T
J1748-2446U   J1748-2446U   Ter5U
J1748-2446V   J1748-2446V   Ter5V
J1748-2446W   J1748-2446W   Ter5W
J1748-2446X   J1748-2446X   Ter5X
J1748-2446Y   J1748-2446Y   Ter5Y
J1748-2446Z   J1748-2446Z   Ter5Z
J1748-2446aa  J1748-2446aa  Ter5aa
J1748-2446ab  J1748-2446ab  Ter5ab
J1748-2446ac  J1748-2446ac  Ter5ac
J1748-2446ad  J1748-2446ad  Ter5ad
J1748-2446ae  J1748-2446ae  Ter5ae
J1748-2446af  J1748-2446af  Ter5af
J1748-2446ag  J1748-2446ag  Ter5ag
J1748-2446ah  J1748-2446ah  Ter5ah
J1748-2446ai  J1748-2446ai  Ter5ai
J1750-37      J1750-37      NGC6441A
J1801-2451    B1757-24      G5.4
J1801-0857A   J1801-0857A   NGC6517A
J1801-0857B   J1801-0857B   NGC6517B
J1801-0857C   J1801-0857C   NGC6517C
J1801-0857D   J1801-0857D   NGC6517D
J1803-30      J1803-30      NGC6522A
J1804-0735    B1802-07      NGC6539A
J1807-2459A   J1807-2459A   NGC6544A
J1807-2459B   J1807-2459B   NGC6544B
J1808-2024    J1808-2024    SGR1806
J1809-1943    J1809-1943    AXP1810
J1811-1925    J1811-1925    G11.2
J1823-3021A   B1820-30A     NGC6624A
J1823-3021B   B1820-30B     NGC6624B
J1823-3021C   J1823-3021C   NGC6624C
J1824-2452A   B1821-24A     M28A
J1824-2452B   J1824-2452B   M28B
J1824-2452C   J1824-2452C   M28C
J1824-2452D   J1824-2452D   M28D
J1824-2452E   J1824-2452E   M28E
J1824-2452F   J1824-2452F   M28F
J1824-2452G   J1824-2452G   M28G
J1824-2452H   J1824-2452H   M28H
J1824-2452I   J1824-2452I   M28I
J1824-2452J   J1824-2452J   M28J
J1824-2452K   J1824-2452K   M28K
J1824-2452L   J1824-2452L   M28L
J1836-2354A   J1836-2354A   M22A
J1836-2354B   J1836-2354B   M22B
J1841-0456    J1841-0456    Kes73
J1845-0256    J1845-0256    G29.6
J1846-0258    J1846-0258    Kes75
J1856+0113    B1853+01      W44
J1905+0154A   J1905+0154A   NGC6749A
J1907+0919    J1907+0919    SGR1900
J1910-5959A   J1910-5959A   NGC6752A
J1910-5959B   J1910-5959B   NGC6752B
J1910-5959C   J1910-5959C   NGC6752C
J1910-5959D   J1910-5959D   NGC6752D
J1910-5959E   J1910-5959E   NGC6752E
J1911+0101A   B1908+00      NGC6760A
J1911+0101B   J1911+0101B   NGC6760B
J1915+1606    B1913+16      1913
J1930+1852    J1930+1852    G54.1
J1932+1059    B1929+10      1928
J1939+2134    B1937+21      1937
J1952+3252    B1951+32      CTB80
J1953+1846A   J1953+1846A   M71A
J2129+1210A   B2127+11A     M15A
J2129+1210B   B2127+11B     M15B
J2129+1210D   B2127+11D     M15D
J2129+1210E   B2127+11E     M15E
J2129+1210F   B2127+11F     M15F
J2129+1210G   B2127+11G     M15G
J2129+1210H   B2127+11H     M15H
J2130+1210C   B2127+11C     M15C
J2140-2310A   J2140-2310A   M30A
J2140-2310B   J2140-2310B   M30B
J2229+6114    J2229+6114    2229
J2301+5852    J2301+5852    CTB109
J2337+6151    B2334+61      G114.3
