   JNAME            RAJ         e        DECJ         e   l      b              P                  e     PDOT            e    PEPOCH      Dist    OSURVEY     SURVEY   
J0537-6910        05:37:47.6    1      -69:10:20      1 279.56 -31.74           0.0161147120      10         51.24       3  50368.500000    49.4 2000000000      misc  
J0633+1746        06:33:54.02   4      +17:46:11.5    5 195.13  +4.27         0.237093230014      14      10.97495      14  43946.000000       * 2000000000      misc  
J0635+0533        06:35:18      2      +05:33:11     30 206.15  -1.04            0.033856495      12             *       *             *       * 2000000000      misc  
J1210-5209        12:10:00.5    5      -52:26:31      5 296.54  +9.92              0.4241292       3             *       *             *       * 2000000000      misc  
J1751-3037        17:51:13.52   5      -30:37:22.9    6 359.18  -1.91           0.0022971706       3             *       *  52368.638900    5.17 2000000000      misc  
J1808-3658        18:08:29      1      -36:58:24      6 355.39  -8.15         0.002493919758       4             *       *  50915.000000    3.62 2000000000      misc  
J1811-1925        18:11:29.2    1      -19:25:28      1  11.18  -0.35             0.06466700       2          44.0       4             *       * 2000000000      misc  
J1846-0258        18:46:24.5    8      -02:58:28     12  29.71  -0.24             0.32359795      12        7097.1      10             *       * 2000000000      misc  
 
 
   JNAME            PB               e      A1            e     E            e    OM           e       T0              e     EPS1           e     EPS2           e     TASC            e 
J1751-3037           0.0294590      10      0.01006       6    0.00000      10     90.00      10     52368.63890      10            *       *            *       *             *       * 
J1808-3658         0.083901840      12    0.0628090      10     0.0000       5     90.00      10   50914.8994400      10            *       *            *       *             *       * 
