# This is an approximately correct Birdie file for
# the Parkes Multibeam System.  The widths are
# in Fourier bins.  Obviously they should be set 
# in a more sophisticated manner.
#
# Frequency (Hz)     Width (Bins)
   0.2441406250         10.0
   0.4882812500         10.0
   0.7324218750         10.0
   0.9765625000         10.0
   1.2207031250         10.0
   1.4648437500         10.0
   1.7089843750         10.0
   1.9531250000         10.0
   2.1972656250         10.0
   2.4414062500         10.0
   2.6855468750         10.0
   2.9296875000         10.0
   3.1738281250         10.0
   3.4179687500         10.0
   3.6621093750         10.0
   3.9062500000         10.0
   4.8828125000         10.0
   5.8593750000         10.0
   6.8359375000         10.0
   7.8125000000         10.0
   9.7656250000         10.0
  11.7187500000         10.0
  13.6718750000         10.0
  15.6250000000         10.0
  17.5781250000         5.0
  19.5312500000         5.0
  23.4375000000         5.0
  27.3437500000         5.0
  31.2500000000         5.0
  35.1562500000         5.0
  39.0625000000         5.0
  42.9687500000         5.0
  46.8750000000         5.0
  50.0000000000         5.0
  50.7812500000         5.0
  54.6875000000         5.0
  58.5937500000         5.0
  62.5000000000        10.0
 100.0000000000         5.0
 125.0000000000         5.0
 150.0000000000         5.0
 187.5000000000         5.0
 200.0000000000         5.0
 250.0000000000         5.0
 300.0000000000         5.0
 312.5000000000         5.0
 350.0000000000         5.0
 375.0000000000         5.0
 400.0000000000         5.0
 437.5000000000         5.0
 450.0000000000         5.0
 500.0000000000         5.0
 550.0000000000         5.0
 562.5000000000         5.0
 600.0000000000         5.0
 625.0000000000         5.0
 650.0000000000         5.0
 687.5000000000         5.0
 700.0000000000         5.0
 750.0000000000         5.0
 800.0000000000         5.0
 812.5000000000         5.0
 875.0000000000         5.0
 937.5000000000         5.0
1000.0000000000        10.0
2000.0000000000         5.0
